RGI_ID,zmed,zmax,zmin,area,slope,lat,icecap,ID
RGI60-08.02037,1692.0,1741.0,1613.0,0.075,18.7,62.378,0,RGI60-08.02037
RGI60-08.02038,1762.0,1830.0,1659.0,0.272,14.7,62.363,0,RGI60-08.02038
RGI60-08.02039,1626.0,1691.0,1555.0,0.232,17.2,62.391,0,RGI60-08.02039
RGI60-08.02040,1824.0,1908.0,1695.0,0.122,25.6,62.38,0,RGI60-08.02040
RGI60-08.02041,1760.0,1884.0,1631.0,0.116,22.7,62.395,0,RGI60-08.02041
RGI60-08.02042,1817.0,1852.0,1755.0,0.041,17.2,62.319,0,RGI60-08.02042
RGI60-08.02043,1627.0,1688.0,1556.0,0.086,30.5,62.443,0,RGI60-08.02043
RGI60-08.02044,1765.0,1822.0,1680.0,0.116,19.1,62.382,0,RGI60-08.02044
RGI60-08.02045,1551.0,1671.0,1454.0,0.064,35.4,62.321,0,RGI60-08.02045
RGI60-08.02046,1704.0,1740.0,1649.0,0.1,19.1,62.408,0,RGI60-08.02046
RGI60-08.02047,1711.0,1808.0,1646.0,0.12,30.1,62.318,0,RGI60-08.02047
RGI60-08.02048,1690.0,1739.0,1622.0,0.059,27.0,62.434,0,RGI60-08.02048
RGI60-08.02049,1714.0,1911.0,1614.0,0.24,27.9,62.313,0,RGI60-08.02049
RGI60-08.02050,1580.0,1657.0,1498.0,0.159,17.8,62.431,0,RGI60-08.02050
RGI60-08.02051,1700.0,1754.0,1665.0,0.167,16.9,62.367,0,RGI60-08.02051
RGI60-08.02052,1690.0,1755.0,1553.0,0.114,23.0,62.31,0,RGI60-08.02052
RGI60-08.02053,1770.0,1849.0,1706.0,0.121,16.6,62.362,0,RGI60-08.02053
RGI60-08.02054,1703.0,1866.0,1558.0,0.366,18.1,62.381,0,RGI60-08.02054
RGI60-08.02055,594.0,707.0,410.0,0.106,26.8,68.347,0,RGI60-08.02055
RGI60-08.02056,693.0,732.0,657.0,0.032,22.6,68.316,0,RGI60-08.02056
RGI60-08.02057,425.0,559.0,303.0,0.128,28.4,68.353,0,RGI60-08.02057
RGI60-08.02058,679.0,743.0,606.0,0.04,32.7,68.345,0,RGI60-08.02058
RGI60-08.02059,679.0,879.0,527.0,0.243,23.0,68.346,0,RGI60-08.02059
RGI60-08.02060,736.0,896.0,597.0,0.871,14.5,68.359,0,RGI60-08.02060
RGI60-08.02061,614.0,761.0,418.0,0.188,30.0,68.302,0,RGI60-08.02061
RGI60-08.02062,1306.0,1352.0,1293.0,0.212,7.6,61.259,0,RGI60-08.02062
RGI60-08.02063,1327.0,1401.0,1252.0,0.15,18.8,61.242,0,RGI60-08.02063
RGI60-08.02064,1323.0,1437.0,1079.0,0.256,20.3,61.252,0,RGI60-08.02064
RGI60-08.02065,1294.0,1333.0,1241.0,0.223,13.6,61.255,0,RGI60-08.02065
